RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Mayor – City of Frisco,"RACE_CANDIDATES    Mayor – City of Frisco.1 - Mark Piland
RACE_CANDIDATES             Mayor – City of Frisco.1 - 52
dtype: object",Mark Piland,52,Colin
Mayor – City of Frisco,"RACE_CANDIDATES    Mayor – City of Frisco.2 - Jeff Cheney
RACE_CANDIDATES             Mayor – City of Frisco.2 - 52
dtype: object",Jeff Cheney,52,Colin
Mayor – City of Frisco,"RACE_CANDIDATES    Mayor – City of Frisco.3 - OVER VOTES
RACE_CANDIDATES            Mayor – City of Frisco.3 - 27
dtype: object",OVER VOTES,27,Colin
Mayor – City of Frisco,"RACE_CANDIDATES    Mayor – City of Frisco.4 - UNDER VOTES
RACE_CANDIDATES             Mayor – City of Frisco.4 - 37
dtype: object",UNDER VOTES,37,Colin
"City Council, Place 5 – City of Frisco","RACE_CANDIDATES    City Council, Place 5 – City of Frisco - Anwer...
RACE_CANDIDATES          City Council, Place 5 – City of Frisco - 54
dtype: object",Anwer Azam,54,Colin
"City Council, Place 5 – City of Frisco","RACE_CANDIDATES    City Council, Place 5 – City of Frisco.1 - Lau...
RACE_CANDIDATES        City Council, Place 5 – City of Frisco.1 - 52
dtype: object",Laura Rummel,52,Colin
"City Council, Place 5 – City of Frisco","RACE_CANDIDATES    City Council, Place 5 – City of Frisco.2 - OVE...
RACE_CANDIDATES        City Council, Place 5 – City of Frisco.2 - 27
dtype: object",OVER VOTES,27,Colin
"City Council, Place 5 – City of Frisco","RACE_CANDIDATES    City Council, Place 5 – City of Frisco.3 - UND...
RACE_CANDIDATES        City Council, Place 5 – City of Frisco.3 - 89
dtype: object",UNDER VOTES,89,Colin
"City Council, Place 6 – City of Frisco","RACE_CANDIDATES    City Council, Place 6 – City of Frisco - Brian...
RACE_CANDIDATES          City Council, Place 6 – City of Frisco - 52
dtype: object",Brian Livingston,52,Colin
"City Council, Place 6 – City of Frisco","RACE_CANDIDATES    City Council, Place 6 – City of Frisco.1 - OVE...
RACE_CANDIDATES         City Council, Place 6 – City of Frisco.1 - 0
dtype: object",OVER VOTES,0,Colin
"City Council, Place 6 – City of Frisco","RACE_CANDIDATES    City Council, Place 6 – City of Frisco.2 - UND...
RACE_CANDIDATES       City Council, Place 6 – City of Frisco.2 - 170
dtype: object",UNDER VOTES,170,Colin
Proposition A – City of Frisco,"RACE_CANDIDATES    Proposition A – City of Frisco - For
RACE_CANDIDATES     Proposition A – City of Frisco - 54
dtype: object",For,54,Colin
Proposition A – City of Frisco,"RACE_CANDIDATES    Proposition A – City of Frisco.1 - Against
RACE_CANDIDATES         Proposition A – City of Frisco.1 - 52
dtype: object",Against,52,Colin
Proposition A – City of Frisco,"RACE_CANDIDATES    Proposition A – City of Frisco.2 - OVER VOTES
RACE_CANDIDATES            Proposition A – City of Frisco.2 - 27
dtype: object",OVER VOTES,27,Colin
Proposition A – City of Frisco,"RACE_CANDIDATES    Proposition A – City of Frisco.3 - UNDER VOTES
RACE_CANDIDATES             Proposition A – City of Frisco.3 - 89
dtype: object",UNDER VOTES,89,Colin
